,,Subject,,,fz098,
,,Protocol,,,2AFC,
,,Type,,,Master,
,,Channel,,,6,
,,Master,,,,
,,Date,,,6/26/2022,
,,Time,,,12:57:41.088,
,,Clock,,,1,
,,Time Warp,,,1x,
0,0.000,Start,,,,
1,0.000,Entry,0,Ready,,
2,0.000,Reg,2,ProbeStart,  106.228,
3,0.002,Exit,0,Ready,Time,
4,0.002,Entry,2,ITI,,
5,0.002,Reg,6,ITItime, 2254.884,
6,0.031,Input,38,Off1B2,,
7,1.268,Input,6,On1B2,,
8,1.360,Input,38,Off1B2,,
9,2.257,Exit,2,ITI,Time,
10,2.257,Entry,3,Wait,,
11,2.343,Input,6,On1B2,,
12,2.343,Exit,3,Wait,6,
13,2.343,Entry,18,Punish,,
14,2.426,Input,38,Off1B2,,
15,2.564,Input,6,On1B2,,
16,2.637,Input,38,Off1B2,,
17,3.069,Input,6,On1B2,,
18,3.151,Input,38,Off1B2,,
19,3.344,Exit,18,Punish,Time,
20,3.344,Entry,3,Wait,,
21,3.844,Exit,3,Wait,Time,
22,3.844,List,,TrialType2,    4.000,
23,3.844,Entry,4,CueLeft,,
24,3.944,Exit,4,CueLeft,Time,
25,3.944,Entry,5,DeadLeft,,
26,4.044,Exit,5,DeadLeft,Time,
27,4.044,Entry,6,WaitForLickLeft,,
28,4.420,Input,5,On1B1,,
29,4.420,Exit,6,WaitForLickLeft,5,
30,4.420,Entry,7,HitLeft,,
31,4.421,Exit,7,HitLeft,Time,
32,4.421,Entry,16,WaterOut,,
33,4.496,Exit,16,WaterOut,Time,
34,4.496,Entry,17,WaterConsumption,,
35,4.496,Reg,14,CupUp, 1925.000,
36,4.501,Input,37,Off1B1,,
37,6.423,Exit,17,WaterConsumption,Time,
38,6.423,Entry,19,TrialEnd,,
39,6.423,Reg,3,ActionRate,    1.000,
40,6.423,Reg,4,LeftCorrect,    1.000,
41,6.423,Reg,5,RightCorrect,      NaN,
42,6.424,Exit,19,TrialEnd,Time,
43,6.424,Entry,1,Trial,,
44,6.424,Reg,1,Trial,    2.000,
45,6.426,Exit,1,Trial,Time,
46,6.426,Entry,2,ITI,,
47,6.426,Reg,6,ITItime, 3816.870,
48,7.195,Input,6,On1B2,,
49,7.267,Input,38,Off1B2,,
50,7.627,Input,6,On1B2,,
51,7.698,Input,38,Off1B2,,
52,8.193,Input,6,On1B2,,
53,8.275,Input,38,Off1B2,,
54,8.332,Input,6,On1B2,,
55,8.413,Input,38,Off1B2,,
56,9.177,Input,6,On1B2,,
57,9.239,Input,38,Off1B2,,
58,9.336,Input,6,On1B2,,
59,9.419,Input,38,Off1B2,,
60,9.849,Input,6,On1B2,,
61,9.940,Input,38,Off1B2,,
62,10.243,Exit,2,ITI,Time,
63,10.243,Entry,3,Wait,,
64,10.651,Input,5,On1B1,,
65,10.651,Exit,3,Wait,5,
66,10.651,Entry,18,Punish,,
67,10.712,Input,37,Off1B1,,
68,11.391,Input,6,On1B2,,
69,11.463,Input,38,Off1B2,,
70,11.567,Input,6,On1B2,,
71,11.650,Input,38,Off1B2,,
72,11.651,Exit,18,Punish,Time,
73,11.651,Entry,3,Wait,,
74,11.943,Input,6,On1B2,,
75,11.943,Exit,3,Wait,6,
76,11.943,Entry,18,Punish,,
77,12.025,Input,38,Off1B2,,
78,12.118,Input,6,On1B2,,
79,12.189,Input,38,Off1B2,,
80,12.944,Exit,18,Punish,Time,
81,12.944,Entry,3,Wait,,
82,13.115,Input,6,On1B2,,
83,13.115,Exit,3,Wait,6,
84,13.115,Entry,18,Punish,,
85,13.197,Input,38,Off1B2,,
86,13.612,Input,6,On1B2,,
87,13.705,Input,38,Off1B2,,
88,14.007,Input,6,On1B2,,
89,14.089,Input,38,Off1B2,,
90,14.115,Exit,18,Punish,Time,
91,14.115,Entry,3,Wait,,
92,14.459,Input,6,On1B2,,
93,14.459,Exit,3,Wait,6,
94,14.459,Entry,18,Punish,,
95,14.551,Input,38,Off1B2,,
96,15.214,Input,6,On1B2,,
97,15.297,Input,38,Off1B2,,
98,15.433,Input,6,On1B2,,
99,15.459,Exit,18,Punish,Time,
100,15.459,Entry,3,Wait,,
101,15.525,Input,38,Off1B2,,
102,15.594,Input,6,On1B2,,
103,15.594,Exit,3,Wait,6,
104,15.594,Entry,18,Punish,,
105,15.675,Input,38,Off1B2,,
106,16.332,Input,6,On1B2,,
107,16.414,Input,38,Off1B2,,
108,16.594,Exit,18,Punish,Time,
109,16.594,Entry,3,Wait,,
110,17.095,Exit,3,Wait,Time,
111,17.095,List,,TrialType2,    9.000,
112,17.095,Entry,9,CueRight,,
113,17.195,Exit,9,CueRight,Time,
114,17.195,Entry,10,DeadRight,,
115,17.295,Exit,10,DeadRight,Time,
116,17.295,Entry,11,WaitForLickRight,,
117,17.519,Input,5,On1B1,,
118,17.519,Exit,11,WaitForLickRight,5,
119,17.519,Entry,13,FalseRight,,
120,17.591,Input,37,Off1B1,,
121,17.727,Input,6,On1B2,,
122,17.809,Input,38,Off1B2,,
123,19.970,Input,6,On1B2,,
124,20.051,Input,38,Off1B2,,
125,20.405,Input,6,On1B2,,
126,20.497,Input,38,Off1B2,,
127,21.327,Input,6,On1B2,,
128,21.409,Input,38,Off1B2,,
129,22.295,Input,6,On1B2,,
130,22.368,Input,38,Off1B2,,
131,22.520,Exit,13,FalseRight,Time,
132,22.520,Entry,19,TrialEnd,,
133,22.520,Reg,3,ActionRate,    1.000,
134,22.520,Reg,4,LeftCorrect,    1.000,
135,22.520,Reg,5,RightCorrect,    0.000,
136,22.522,Exit,19,TrialEnd,Time,
